ESTADO,SALUD,IMSS.ORD,ISSSTE,IMSS.OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalient es,672,434,22,S.R.,0,S.R.,1,S.R.,21,1 1 5 0
Baja California,977,850,45,57,S.R.,S.R.,6,5,155,2 0 9 5
Baja California Sur,547,51,79,S.R.,S.R.,S.R.,3,1,S.R.,6 8 1
Campeche,490,140,35,117,0,13,4,8,46,8 5 3
Coahuila,998,785,52,223,0,S.R.,12,S.R.,505,2 5 7 5
Colima,365,253,17,S.R.,0,S.R.,0,13,18,6 6 6
Chiapas,1 261,95,63,439,S.R.,31,5,3,10,1 9 0 7
Chihuahua,1 746,1 053,94,273,S.R.,S.R.,6,S.R.,352,3 5 2 4
Dist rit o Federal,9 473,768,834,2,5,161,76,10,182,1 1 5 1 1
Durango,1 675,216,37,250,0,S.R.,3,S.R.,0,2 1 8 1
Guanajuat o,4 794,558,87,0,S.R.,65,10,S.R.,38,5 5 5 2
Guerrero,1 998,693,223,2,S.R.,S.R.,13,13,0,2 9 4 2
Hidalgo,2 917,143,32,329,50,39,0,S.R.,20,3 5 3 0
Jalisco,3 924,1 897,68,0,1,1,8,1,1 077,6 9 7 7
M ‚xico,12 093,1 068,164,15,378,S.R.,68,S.R.,601,1 4 3 8 7
M ichoac n,2 491,742,71,946,S.R.,S.R.,0,7,S.R.,4 2 5 7
M orelos,1 242,187,31,0,S.R.,S.R.,2,S.R.,S.R.,1 4 6 2
Nayarit,606,172,39,337,5,S.R.,0,3,5,1 1 6 7
Nuevo Le¢n,2 843,1 128,21,0,S.R.,48,0,S.R.,820,4 8 6 0
Oaxaca,1 526,103,159,2 476,1,63,24,21,36,4 4 0 9
Puebla,4 755,669,110,751,10,17,1,S.R.,383,6 6 9 6
Quer‚t aro,789,397,75,2,0,S.R.,0,S.R.,14,1 2 7 7
Quint ana Roo,793,558,132,S.R.,S.R.,S.R.,6,0,7,1 4 9 6
San Luis Pot os¡,2 586,639,85,752,S.R.,10,0,S.R.,34,4 1 0 6
Sinaloa,1 148,296,103,240,7,1,4,16,266,2 0 8 1
Sonora,2 550,447,34,0,S.R.,S.R.,6,9,377,3 4 2 3
Tabasco,767,33,17,S.R.,S.R.,130,5,2,42,9 9 6
Tamaulipas,1 971,366,3,282,1,144,2,17,3,2 7 8 9
Tlaxcala,786,98,28,0,0,S.R.,1,S.R.,0,9 1 3
Veracruz,3 457,463,112,1 518,5,278,12,27,3,5 8 7 5
Yucat  n,1 488,307,93,653,0,S.R.,9,0,25,2 5 7 5
Zacat ecas,624,112,22,402,0,S.R.,5,S.R.,16,1 1 8 1
