"Aguascalientes","GENERAL",2004,"MAYOR.A.UNO",3
"Baja California","GENERAL",2004,"MAYOR.A.UNO",14
"Baja California Sur","GENERAL",2004,"MAYOR.A.UNO",1
"Campeche","GENERAL",2004,"MAYOR.A.UNO",1
"Coahuila","GENERAL",2004,"MAYOR.A.UNO",8
"Colima","GENERAL",2004,"MAYOR.A.UNO",3
"Chiapas","GENERAL",2004,"MAYOR.A.UNO",7
"Chihuahua","GENERAL",2004,"MAYOR.A.UNO",13
"Distrito Federal","GENERAL",2004,"MAYOR.A.UNO",38
"Durango","GENERAL",2004,"MAYOR.A.UNO",4
"Guanajuato","GENERAL",2004,"MAYOR.A.UNO",27
"Guerrero","GENERAL",2004,"MAYOR.A.UNO",12
"Hidalgo","GENERAL",2004,"MAYOR.A.UNO",3
"Jalisco","GENERAL",2004,"MAYOR.A.UNO",49
"Mexico","GENERAL",2004,"MAYOR.A.UNO",50
"Michoacan","GENERAL",2004,"MAYOR.A.UNO",13
"Morelos","GENERAL",2004,"MAYOR.A.UNO",1
"Nayarit","GENERAL",2004,"MAYOR.A.UNO",6
"Nuevo Leon","GENERAL",2004,"MAYOR.A.UNO",46
"Oaxaca","GENERAL",2004,"MAYOR.A.UNO",10
"Puebla","GENERAL",2004,"MAYOR.A.UNO",23
"Queretaro","GENERAL",2004,"MAYOR.A.UNO",14
"Quintana Roo","GENERAL",2004,"MAYOR.A.UNO",15
"San Luis Potosi","GENERAL",2004,"MAYOR.A.UNO",9
"Sinaloa","GENERAL",2004,"MAYOR.A.UNO",8
"Sonora","GENERAL",2004,"MAYOR.A.UNO",20
"Tabasco","GENERAL",2004,"MAYOR.A.UNO",3
"Tamaulipas","GENERAL",2004,"MAYOR.A.UNO",36
"Tlaxcala","GENERAL",2004,"MAYOR.A.UNO",5
"Veracruz","GENERAL",2004,"MAYOR.A.UNO",26
"Yucatan","GENERAL",2004,"MAYOR.A.UNO",16
"Zacatecas","GENERAL",2004,"MAYOR.A.UNO",3
"Aguascalientes","GENERAL",2004,"UNO.A.CUATRO",129
"Baja California","GENERAL",2004,"UNO.A.CUATRO",160
"Baja California Sur","GENERAL",2004,"UNO.A.CUATRO",66
"Campeche","GENERAL",2004,"UNO.A.CUATRO",74
"Coahuila","GENERAL",2004,"UNO.A.CUATRO",288
"Colima","GENERAL",2004,"UNO.A.CUATRO",74
"Chiapas","GENERAL",2004,"UNO.A.CUATRO",190
"Chihuahua","GENERAL",2004,"UNO.A.CUATRO",535
"Distrito Federal","GENERAL",2004,"UNO.A.CUATRO",1764
"Durango","GENERAL",2004,"UNO.A.CUATRO",549
"Guanajuato","GENERAL",2004,"UNO.A.CUATRO",704
"Guerrero","GENERAL",2004,"UNO.A.CUATRO",361
"Hidalgo","GENERAL",2004,"UNO.A.CUATRO",423
"Jalisco","GENERAL",2004,"UNO.A.CUATRO",1051
"Mexico","GENERAL",2004,"UNO.A.CUATRO",1782
"Michoacan","GENERAL",2004,"UNO.A.CUATRO",423
"Morelos","GENERAL",2004,"UNO.A.CUATRO",226
"Nayarit","GENERAL",2004,"UNO.A.CUATRO",117
"Nuevo Leon","GENERAL",2004,"UNO.A.CUATRO",631
"Oaxaca","GENERAL",2004,"UNO.A.CUATRO",310
"Puebla","GENERAL",2004,"UNO.A.CUATRO",899
"Queretaro","GENERAL",2004,"UNO.A.CUATRO",219
"Quintana Roo","GENERAL",2004,"UNO.A.CUATRO",231
"San Luis Potosi","GENERAL",2004,"UNO.A.CUATRO",436
"Sinaloa","GENERAL",2004,"UNO.A.CUATRO",186
"Sonora","GENERAL",2004,"UNO.A.CUATRO",191
"Tabasco","GENERAL",2004,"UNO.A.CUATRO",133
"Tamaulipas","GENERAL",2004,"UNO.A.CUATRO",371
"Tlaxcala","GENERAL",2004,"UNO.A.CUATRO",161
"Veracruz","GENERAL",2004,"UNO.A.CUATRO",701
"Yucatan","GENERAL",2004,"UNO.A.CUATRO",272
"Zacatecas","GENERAL",2004,"UNO.A.CUATRO",144
"Aguascalientes","GENERAL",2004,"CINCO.A.NUEVE",170
"Baja California","GENERAL",2004,"CINCO.A.NUEVE",329
"Baja California Sur","GENERAL",2004,"CINCO.A.NUEVE",123
"Campeche","GENERAL",2004,"CINCO.A.NUEVE",178
"Coahuila","GENERAL",2004,"CINCO.A.NUEVE",444
"Colima","GENERAL",2004,"CINCO.A.NUEVE",119
"Chiapas","GENERAL",2004,"CINCO.A.NUEVE",558
"Chihuahua","GENERAL",2004,"CINCO.A.NUEVE",956
"Distrito Federal","GENERAL",2004,"CINCO.A.NUEVE",2843
"Durango","GENERAL",2004,"CINCO.A.NUEVE",622
"Guanajuato","GENERAL",2004,"CINCO.A.NUEVE",1250
"Guerrero","GENERAL",2004,"CINCO.A.NUEVE",889
"Hidalgo","GENERAL",2004,"CINCO.A.NUEVE",872
"Jalisco","GENERAL",2004,"CINCO.A.NUEVE",1578
"Mexico","GENERAL",2004,"CINCO.A.NUEVE",3234
"Michoacan","GENERAL",2004,"CINCO.A.NUEVE",1009
"Morelos","GENERAL",2004,"CINCO.A.NUEVE",463
"Nayarit","GENERAL",2004,"CINCO.A.NUEVE",207
"Nuevo Leon","GENERAL",2004,"CINCO.A.NUEVE",934
"Oaxaca","GENERAL",2004,"CINCO.A.NUEVE",647
"Puebla","GENERAL",2004,"CINCO.A.NUEVE",1750
"Queretaro","GENERAL",2004,"CINCO.A.NUEVE",307
"Quintana Roo","GENERAL",2004,"CINCO.A.NUEVE",330
"San Luis Potosi","GENERAL",2004,"CINCO.A.NUEVE",842
"Sinaloa","GENERAL",2004,"CINCO.A.NUEVE",381
"Sonora","GENERAL",2004,"CINCO.A.NUEVE",234
"Tabasco","GENERAL",2004,"CINCO.A.NUEVE",312
"Tamaulipas","GENERAL",2004,"CINCO.A.NUEVE",659
"Tlaxcala","GENERAL",2004,"CINCO.A.NUEVE",349
"Veracruz","GENERAL",2004,"CINCO.A.NUEVE",1465
"Yucatan","GENERAL",2004,"CINCO.A.NUEVE",461
"Zacatecas","GENERAL",2004,"CINCO.A.NUEVE",281
"Aguascalientes","GENERAL",2004,"DIEZ.A.CATORCE",121
"Baja California","GENERAL",2004,"DIEZ.A.CATORCE",261
"Baja California Sur","GENERAL",2004,"DIEZ.A.CATORCE",94
"Campeche","GENERAL",2004,"DIEZ.A.CATORCE",149
"Coahuila","GENERAL",2004,"DIEZ.A.CATORCE",335
"Colima","GENERAL",2004,"DIEZ.A.CATORCE",103
