Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,5,78,131,100,48,29,63,10,17,4,19,0,504
Baja California,5,140,254,211,96,89,248,52,70,26,56,1,1 248
Baja California Sur,0,49,78,48,32,32,88,20,17,11,16,0,391
Campeche,2,38,88,60,51,39,107,25,30,16,34,0,490
Coahuila,0,150,303,228,91,66,196,30,62,33,39,1,1 199
Colima,1,40,77,58,20,18,45,11,20,5,15,0,310
Chiapas,1,95,214,225,100,67,221,53,69,32,95,3,1 175
Chihuahua,7,264,463,367,243,166,405,148,162,81,144,7,2 457
Distrito Federal,11,712,1 108,1 085,817,676,1 529,303,427,208,426,2,7 304
Durango,2,174,284,244,140,127,158,64,59,39,52,0,1 343
Guanajuato,8,403,726,516,245,187,500,90,142,61,199,0,3 077
Guerrero,7,144,384,382,183,94,318,54,128,59,166,1,1 920
Hidalgo,0,195,398,307,187,126,408,96,166,74,204,0,2 161
Jalisco,17,464,817,586,314,244,627,120,143,81,208,0,3 621
M‚xico,22,910,1 608,1 420,961,639,1 596,272,463,186,461,6,8 544
Michoac n,8,300,513,404,203,143,381,77,113,50,180,0,2 372
Morelos,0,112,182,144,74,53,159,15,61,27,69,0,896
Nayarit,0,64,119,115,48,33,89,26,36,13,42,0,585
Nuevo Le¢n,6,294,463,371,187,174,437,95,109,62,115,0,2 313
Oaxaca,3,178,409,359,179,129,403,90,152,87,261,0,2 250
Puebla,11,381,802,689,418,334,861,178,292,170,356,7,4 499
Quer‚taro,5,68,150,121,69,52,117,19,51,21,42,0,715
Quintana Roo,0,88,166,133,58,109,172,33,42,16,30,0,847
San Luis Potos¡,6,222,461,354,211,118,340,67,112,42,188,0,2 121
Sinaloa,2,105,255,181,53,47,172,42,65,41,81,0,1 044
Sonora,6,280,413,326,135,100,272,67,93,46,100,2,1 840
Tabasco,1,69,118,105,61,46,147,31,44,23,43,1,689
Tamaulipas,15,169,350,259,112,68,253,33,87,35,113,3,1 497
Tlaxcala,1,76,131,115,83,54,101,25,42,23,55,0,706
Veracruz,5,349,716,591,307,202,659,130,263,116,334,10,3 682
Yucat n,0,130,240,197,147,95,226,38,66,32,85,1,1 257
Zacatecas,2,95,185,101,45,28,102,18,23,7,47,0,653
