Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,1,68,128,99,42,29,70,11,13,11,23,0,495
Baja California,3,132,206,186,94,59,200,45,57,24,49,0,1 055
Baja California Sur,1,46,77,69,32,27,82,17,25,7,19,0,402
Campeche,0,46,76,78,42,42,108,22,21,10,29,1,475
Coahuila,4,164,343,277,105,83,189,31,57,11,54,1,1 319
Colima,0,29,44,34,21,16,39,3,22,7,14,0,229
Chiapas,1,89,226,222,119,68,209,50,77,39,76,2,1 178
Chihuahua,0,193,387,314,133,84,312,67,113,39,116,13,1 771
Distrito Federal,10,779,1 264,1 175,852,682,1 711,317,495,201,440,0,7 926
Durango,3,227,329,311,165,136,191,53,68,26,73,0,1 582
Guanajuato,4,406,785,613,280,198,586,82,159,69,204,5,3 391
Guerrero,5,196,415,368,134,109,344,63,106,65,178,1,1 984
Hidalgo,3,225,409,340,194,131,398,73,172,73,214,0,2 232
Jalisco,8,457,782,536,296,206,599,91,183,56,203,2,3 419
M‚xico,24,909,1 564,1 505,946,608,1 672,297,428,224,453,3,8 633
Michoac n,4,266,541,483,200,144,374,68,128,54,217,1,2 480
Morelos,0,100,194,176,90,51,158,24,67,30,65,0,955
Nayarit,2,95,134,94,48,25,90,31,39,14,49,0,621
Nuevo Le¢n,15,257,545,344,207,144,418,82,123,55,107,1,2 298
Oaxaca,4,163,404,354,185,102,385,92,191,83,309,2,2 274
Puebla,6,490,898,805,489,363,907,169,293,160,385,3,4 968
Quer‚taro,4,72,139,98,41,54,128,24,41,22,53,0,676
Quintana Roo,1,96,144,137,83,78,183,44,47,21,21,2,857
San Luis Potos¡,17,228,447,356,216,114,332,62,110,69,183,0,2 134
Sinaloa,1,129,230,171,60,39,134,29,52,36,80,1,962
Sonora,5,279,391,312,110,75,268,58,87,38,98,0,1 721
Tabasco,0,65,118,124,75,54,149,32,60,23,45,0,745
Tamaulipas,7,184,364,322,125,107,260,46,71,36,102,0,1 624
Tlaxcala,3,101,120,151,60,52,122,30,41,16,65,0,761
Veracruz,7,385,778,720,321,238,688,146,275,132,324,1,4 015
Yucat n,0,122,249,226,137,92,270,50,89,42,98,1,1 376
Zacatecas,0,107,178,134,54,37,126,15,26,12,46,0,735
