Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,4,68,124,106,70,40,97,16,21,10,23,0,579
Baja California,5,80,132,99,55,38,137,45,65,24,37,1,718
Baja California Sur,4,36,71,52,29,26,71,24,28,8,9,0,358
Campeche,1,38,68,47,25,21,76,19,23,5,23,0,346
Coahuila,2,136,260,224,128,79,220,40,79,23,59,2,1 252
Colima,1,51,59,50,24,28,80,15,25,8,18,0,359
Chiapas,2,73,182,198,95,85,203,35,78,16,65,3,1 035
Chihuahua,2,128,313,294,99,68,278,73,108,33,88,1,1 485
Distrito Federal,17,611,1 067,958,719,563,1 409,290,449,184,392,17,6 676
Durango,0,139,260,239,126,108,197,54,71,19,45,0,1 258
Guanajuato,5,404,726,612,315,234,515,95,160,52,183,0,3 301
Guerrero,1,131,218,226,87,71,161,44,70,29,113,0,1 151
H idalgo,2,168,301,277,187,125,398,67,132,54,203,0,1 914
Jalisco,15,454,718,546,360,232,688,124,192,73,209,1,3 612
M ‚xico,18,830,1 401,1 473,1 040,742,1 770,347,507,214,446,5,8 793
M ichoac n,8,295,532,431,234,186,488,89,116,63,184,1,2 627
M orelos,2,78,125,113,64,58,134,21,53,21,44,1,714
Nayarit,6,63,109,102,44,42,107,19,30,8,51,0,581
Nuevo Le¢n,1,220,371,331,178,168,482,102,134,57,142,42,2 228
Oaxaca,2,157,351,320,194,113,377,75,136,72,235,0,2 032
Puebla,3,221,430,453,301,222,514,110,173,88,230,2,2 747
Quer‚taro,0,92,145,117,103,50,177,30,46,19,42,0,821
Quintana Roo,2,94,169,162,88,85,210,45,63,17,38,0,973
San Luis Potos¡,6,210,448,378,196,133,352,77,129,58,193,0,2 180
Sinaloa,2,137,216,181,64,39,142,42,53,31,48,0,955
Sonora,5,212,397,330,151,126,306,124,107,41,71,4,1 874
Tabasco,1,30,70,77,30,31,90,31,42,22,36,0,460
Tamaulipas,4,155,272,253,101,82,276,73,113,57,121,3,1 510
Tlaxcala,1,51,94,102,57,33,86,12,36,15,35,0,522
Veracruz,7,279,546,489,287,190,582,119,236,107,301,1,3 144
Yucat n,3,131,214,221,117,93,236,53,84,32,76,0,1 260
Zacatecas,5,80,190,133,69,38,99,26,45,13,49,0,747
