Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,6,83,142,124,77,57,174,29,34,19,24,0,769
Baja California,1,102,132,136,70,53,233,65,99,29,76,1,997
Baja California Sur,1,25,52,45,26,22,72,15,36,10,21,0,325
Campeche,0,25,34,59,21,27,90,15,39,13,25,0,348
Coahuila,6,154,346,305,165,117,312,56,89,36,86,8,1 680
Colima,0,33,50,50,31,39,90,19,30,10,25,0,377
Chiapas,0,93,155,165,95,92,215,40,84,24,71,2,1 036
Chihuahua,6,135,255,194,90,75,272,68,102,33,121,0,1 351
Distrito Federal,20,634,1 022,968,831,700,1 741,358,587,228,481,5,7 575
Durango,1,147,287,258,177,134,277,63,73,37,71,0,1 525
Guanajuato,5,325,594,458,290,225,639,119,172,76,199,0,3 102
Guerrero,1,119,284,210,102,113,231,42,92,43,130,0,1 367
Hidalgo,1,155,286,267,184,136,397,92,150,87,177,0,1 932
Jalisco,11,429,728,557,304,306,877,197,242,100,273,1,4 025
M‚xico,17,726,1 299,1 285,1 009,792,1 781,399,612,249,478,6,8 653
Michoac n,7,209,362,307,204,177,411,79,137,74,154,1,2 122
Morelos,0,82,134,147,96,68,197,32,72,35,74,1,938
Nayarit,1,63,95,64,37,32,100,16,30,16,28,1,483
Nuevo Le¢n,5,235,507,457,245,189,618,130,201,73,175,7,2 842
Oaxaca,2,157,285,250,153,136,349,105,146,72,242,2,1 899
Puebla,8,239,417,475,334,274,656,141,221,96,238,2,3 101
Quer‚taro,6,94,180,138,116,89,223,58,53,26,62,0,1 045
Quintana Roo,1,80,168,133,108,85,222,36,63,18,44,0,958
San Luis Potos¡,6,212,422,367,229,174,430,90,174,79,203,0,2 386
Sinaloa,3,135,215,205,103,115,192,53,56,30,65,1,1 173
Sonora,10,192,344,253,157,97,288,79,115,39,83,2,1 659
Tabasco,1,28,61,67,44,34,89,23,52,13,38,3,453
Tamaulipas,10,159,289,281,143,117,306,81,146,65,111,1,1 709
Tlaxcala,0,49,81,92,58,47,87,20,28,15,43,0,520
Veracruz,4,207,367,416,237,128,448,89,184,111,291,1,2 483
Yucat n,3,152,211,188,137,95,257,76,109,48,106,1,1 383
Zacatecas,1,81,168,117,52,43,118,27,43,14,59,1,724
