Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,2,121,168,179,77,67,113,21,37,8,28,0,821
Baja California,1,108,202,207,92,88,290,58,88,31,57,0,1 222
Baja California Sur,1,59,106,95,44,40,111,27,37,11,31,0,562
Campeche,1,54,81,53,32,30,84,22,24,8,27,1,417
Coahuila,1,243,413,328,153,128,285,50,99,32,70,1,1 803
Colima,1,46,71,60,30,40,90,12,25,5,25,1,406
Chiapas,2,90,208,155,83,90,255,34,67,29,73,1,1 087
Chihuahua,3,219,429,383,141,102,351,63,125,55,98,4,1 973
Distrito Federal,13,635,996,930,737,581,1 425,309,491,175,406,0,6 698
Durango,4,153,305,257,127,92,229,44,94,37,57,0,1 399
Guanajuato,9,461,837,654,351,256,595,106,194,68,196,0,3 727
Guerrero,1,150,373,293,134,112,304,60,100,39,154,1,1 721
Hidalgo,2,167,399,313,184,142,366,60,133,53,178,1,1 998
Jalisco,14,513,897,740,360,310,772,131,212,100,196,1,4 246
M‚xico,14,892,1 562,1 510,968,766,1 746,362,493,210,512,11,9 046
Michoac n,9,294,501,421,221,189,371,93,122,63,160,0,2 444
Morelos,2,95,167,119,61,52,144,21,40,10,56,1,768
Nayarit,0,83,141,103,48,30,116,12,32,15,43,0,623
Nuevo Le¢n,15,307,496,442,244,190,490,129,191,73,155,31,2 763
Oaxaca,2,209,365,344,173,123,385,85,153,77,260,2,2 178
Puebla,9,317,586,589,342,290,691,137,220,136,283,1,3 601
Quer‚taro,5,81,185,176,102,55,193,32,50,20,54,0,953
Quintana Roo,8,111,160,150,63,101,268,28,39,30,32,0,990
San Luis Potos¡,6,240,453,397,253,158,454,78,147,77,213,0,2 476
Sinaloa,4,164,265,199,83,70,198,54,75,23,71,0,1 206
Sonora,4,264,411,336,149,163,337,109,141,41,92,3,2 050
Tabasco,1,50,94,103,38,32,116,17,32,19,57,1,560
Tamaulipas,4,189,354,317,129,111,338,67,118,46,116,0,1 789
Tlaxcala,0,39,57,93,56,32,85,24,26,10,48,0,470
Veracruz,7,304,591,549,301,222,590,140,242,125,333,0,3 404
Yucat n,4,146,219,188,155,82,241,65,64,40,74,1,1 279
Zacatecas,1,113,198,109,60,41,123,24,44,14,41,0,768
