Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,1,45,90,34,22,21,79,17,18,9,13,0,349
Baja California,6,80,125,89,68,56,194,53,69,19,48,1,808
Baja California Sur,0,22,31,21,24,19,70,12,18,7,14,0,238
Campeche,2,20,47,36,37,35,85,20,36,10,23,0,351
Coahuila,2,105,205,96,88,64,203,46,76,33,60,1,979
Colima,1,17,42,14,26,15,56,9,11,5,11,0,207
Chiapas,1,64,103,108,90,84,224,58,69,28,70,2,901
Chihuahua,1,176,283,185,137,105,377,127,191,60,109,1,1 752
Distrito Federal,8,458,620,508,478,419,1 317,297,496,179,360,1,5 141
Durango,1,124,178,112,92,60,107,32,50,14,39,0,809
Guanajuato,4,193,328,253,153,138,454,88,146,57,192,0,2 006
Guerrero,0,108,276,217,151,100,382,108,150,74,142,0,1 708
Hidalgo,2,115,198,147,144,126,415,112,129,59,149,0,1 596
Jalisco,8,299,442,289,185,151,532,111,231,70,152,1,2 471
M‚xico,17,494,857,706,702,465,1 640,380,513,179,363,132,6 448
Michoac n,7,125,302,197,114,104,336,87,151,60,142,0,1 625
Morelos,0,57,100,69,67,61,154,55,67,20,64,0,714
Nayarit,0,43,95,68,30,38,91,24,30,11,30,1,461
Nuevo Le¢n,5,179,287,211,159,118,374,106,156,70,107,0,1 772
Oaxaca,1,91,254,262,184,165,511,147,218,88,293,3,2 217
Puebla,6,231,441,385,328,275,877,199,341,129,316,2,3 530
Quer‚taro,1,34,67,36,44,33,95,25,43,19,35,0,432
Quintana Roo,0,56,93,59,54,39,165,30,54,14,23,0,587
San Luis Potos¡,4,127,235,139,139,101,368,99,134,57,146,0,1 549
Sinaloa,3,72,119,98,44,35,151,33,81,34,65,0,735
Sonora,9,157,240,162,111,86,256,69,105,42,66,1,1 304
Tabasco,1,43,69,61,49,35,125,38,36,19,31,0,507
Tamaulipas,4,112,208,134,109,92,302,78,131,42,92,2,1 306
Tlaxcala,0,30,82,43,54,44,128,32,46,20,49,1,529
Veracruz,3,174,409,309,224,195,755,179,336,134,263,1,2 982
Yucat n,1,79,184,109,81,86,236,51,69,24,59,0,979
Zacatecas,1,41,80,43,41,34,93,21,37,18,39,1,449
