Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,1,36,62,35,22,23,55,7,16,10,15,0,282
Baja California,1,76,128,110,72,49,195,50,77,29,51,3,841
Baja California Sur,0,25,45,23,29,16,67,24,18,12,13,0,272
Campeche,0,29,43,44,37,31,110,24,32,8,29,1,388
Coahuila,2,102,153,126,71,57,213,41,75,25,45,1,911
Colima,0,30,38,19,17,17,45,8,18,7,14,0,213
Chiapas,1,59,143,118,94,90,279,65,98,28,70,0,1 045
Chihuahua,1,111,197,157,110,83,258,67,105,50,89,3,1 231
Distrito Federal,7,544,741,607,643,511,1 512,346,558,200,426,1,6 096
Durango,1,144,190,167,137,110,193,31,58,25,37,0,1 093
Guanajuato,4,233,399,283,195,136,494,108,198,64,184,0,2 298
Guerrero,3,110,301,231,122,110,377,111,150,83,164,2,1 764
Hidalgo,0,123,261,192,186,145,474,115,162,72,174,2,1 906
Jalisco,2,270,472,286,171,154,480,120,188,49,149,1,2 342
M‚xico,13,554,987,841,719,514,1 906,409,602,206,465,3,7 219
Michoac n,2,147,285,206,128,119,381,99,164,57,172,4,1 764
Morelos,0,60,129,98,64,40,173,49,64,38,66,2,783
Nayarit,4,48,78,40,30,32,92,23,38,10,33,0,428
Nuevo Le¢n,7,171,319,230,154,114,377,91,150,63,89,0,1 765
Oaxaca,4,87,295,204,157,116,533,144,232,120,294,1,2 187
Puebla,8,274,527,468,467,316,1 029,261,385,171,366,5,4 277
Quer‚taro,1,42,80,68,56,41,146,15,41,16,39,0,545
Quintana Roo,4,55,104,80,44,66,157,42,43,11,20,1,627
San Luis Potos¡,7,142,250,178,123,108,378,67,132,63,167,0,1 615
Sinaloa,3,71,144,89,42,38,137,38,56,30,58,0,706
Sonora,5,154,227,127,105,84,236,64,92,43,65,0,1 202
Tabasco,0,39,74,70,47,59,182,31,53,22,35,0,612
Tamaulipas,5,118,239,158,116,97,343,77,135,59,94,3,1 444
Tlaxcala,1,59,91,60,69,51,166,32,50,14,61,0,654
Veracruz,6,198,486,370,296,252,873,201,356,151,328,2,3 519
Yucat n,2,88,152,144,112,94,236,46,65,22,47,0,1 008
Zacatecas,2,54,89,74,32,24,95,24,41,26,40,1,502
