Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,2,34,69,33,30,15,49,6,18,2,16,0,274
Baja California,6,66,134,94,59,50,157,27,45,19,37,1,695
Baja California Sur,0,21,45,20,21,20,55,16,25,6,9,0,238
Campeche,0,30,66,55,47,35,110,14,20,8,16,0,401
Coahuila,3,102,146,117,62,53,157,32,34,26,50,0,782
Colima,2,28,48,27,22,14,65,11,23,8,14,0,262
Chiapas,3,82,262,189,107,126,317,69,104,34,66,2,1361
Chihuahua,4,208,344,267,144,115,377,87,138,39,109,0,1832
Distrito Federal,15,680,1037,931,829,689,2170,433,659,258,469,1,8171
Durango,1,226,238,133,73,51,171,45,69,31,39,1,1078
Guanajuato,9,283,468,344,208,170,515,121,177,93,208,2,2598
Guerrero,5,146,370,298,194,135,413,96,167,82,185,1,2092
Hidalgo,2,138,325,261,216,142,604,126,199,87,176,0,2276
Jalisco,14,399,550,392,234,183,630,118,199,96,178,2,2995
M‚xico,21,684,1197,1115,852,703,2314,467,644,277,433,0,8707
Michoac n,8,162,392,270,163,122,401,92,139,57,169,0,1975
Morelos,0,89,193,108,83,73,199,37,64,34,78,1,959
Nayarit,2,46,75,49,34,26,83,24,24,9,28,0,400
Nuevo Le¢n,30,267,330,223,130,130,302,82,99,56,83,0,1732
Oaxaca,5,106,299,252,198,169,528,120,189,139,236,0,2241
Puebla,10,333,707,612,482,466,1212,263,396,180,403,6,5070
Quer‚taro,5,79,117,100,74,58,181,25,48,18,42,0,747
Quintana Roo,5,79,124,91,58,49,183,34,48,13,35,0,719
San Luis Potos¡,3,163,299,278,173,135,394,96,146,58,175,3,1923
Sinaloa,3,67,142,77,52,37,153,46,74,28,40,0,719
Sonora,8,51,86,61,45,21,100,25,35,33,25,0,490
Tabasco,2,48,126,110,63,67,212,49,52,22,32,0,783
Tamaulipas,20,149,285,168,136,133,414,82,124,63,90,0,1664
Tlaxcala,1,59,143,118,106,93,210,41,64,43,87,0,965
Veracruz,9,248,590,484,313,282,973,236,317,150,274,3,3879
Yucat n,6,103,190,166,102,82,231,40,87,32,49,2,1090
Zacatecas,1,52,101,66,43,34,110,28,43,17,53,0,548
