Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,3,66,86,54,41,49,108,21,35,12,27,0,502
Baja California,3,88,128,107,60,63,215,56,76,31,54,1,882
Baja California Sur,1,30,38,36,24,18,75,19,29,10,13,0,293
Campeche,0,35,51,43,27,30,108,20,43,2,26,0,385
Coahuila,2,121,184,126,86,68,242,48,76,35,62,0,1 050
Colima,1,30,32,38,21,16,90,10,25,10,12,0,285
Chiapas,2,52,133,96,82,67,222,59,67,26,47,0,853
Chihuahua,1,120,230,157,112,85,339,104,197,59,108,2,1 514
Distrito Federal,8,433,620,442,494,426,1 228,353,543,207,356,2,5 112
Durango,1,114,207,153,93,71,128,23,42,23,30,0,885
Guanajuato,5,252,392,283,169,147,503,113,186,74,175,0,2 299
Guerrero,2,79,201,148,122,97,303,68,117,54,173,2,1 366
Hidalgo,2,120,205,177,122,111,404,102,192,74,140,0,1 649
Jalisco,11,312,458,388,190,170,592,129,235,95,206,3,2 789
M‚xico,11,545,890,768,609,523,1 645,399,590,215,385,5,6 585
Michoac n,4,181,299,211,130,139,413,91,159,58,166,0,1 851
Morelos,0,70,89,72,62,45,137,47,49,22,53,2,648
Nayarit,0,55,79,60,35,29,95,24,55,9,45,0,486
Nuevo Le¢n,8,203,332,225,181,156,474,142,185,88,145,0,2 139
Oaxaca,3,106,292,206,157,138,480,136,221,115,305,0,2 159
Puebla,4,185,377,345,291,252,797,185,349,132,293,7,3 217
Quer‚taro,3,55,86,61,48,32,113,25,57,11,48,0,539
Quintana Roo,4,54,97,75,52,58,183,34,49,21,34,0,661
San Luis Potos¡,2,182,288,213,167,126,401,111,172,67,134,0,1 863
Sinaloa,2,84,129,110,78,64,237,69,124,42,65,0,1 004
Sonora,7,165,232,190,145,102,277,90,119,37,79,0,1 443
Tabasco,1,30,68,61,45,40,105,22,44,14,26,2,458
Tamaulipas,9,105,197,137,111,90,279,66,142,55,107,1,1 299
Tlaxcala,0,36,49,42,36,32,87,26,48,16,31,0,403
Veracruz,4,202,337,259,224,175,674,159,336,128,270,1,2 769
Yucat n,1,102,160,112,118,103,275,67,101,41,74,0,1 154
Zacatecas,1,48,80,56,31,27,95,25,29,13,32,0,437
