Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,1,61,101,68,38,44,102,25,47,14,21,0,522
Baja California,3,87,134,81,69,47,234,69,90,34,55,0,903
Baja California Sur,1,43,59,48,37,32,118,27,35,13,27,0,440
Campeche,2,25,41,28,24,29,69,22,33,6,19,0,298
Coahuila,5,145,262,137,101,78,275,62,93,37,77,3,1 275
Colima,3,25,46,22,23,17,68,12,25,17,22,0,280
Chiapas,2,57,113,98,93,88,263,59,78,33,65,1,950
Chihuahua,2,130,200,181,126,97,294,92,152,45,108,4,1 431
Distrito Federal,11,478,660,517,425,382,1369,359,568,209,402,0,5 380
Durango,1,102,163,116,99,73,185,58,74,28,35,0,934
Guanajuato,4,275,466,333,181,150,553,144,219,83,215,0,2 623
Guerrero,2,144,222,176,141,91,346,84,191,91,151,1,1 640
Hidalgo,1,129,221,175,150,111,460,98,188,53,170,0,1 756
Jalisco,10,339,500,373,205,231,656,144,234,84,187,0,2 963
M‰xico,20,582,1018,802,744,594,2036,470,662,251,451,10,7 640
Michoacæn,7,220,311,330,235,162,385,133,148,59,140,1,2 131
Morelos,2,52,84,56,46,42,126,45,34,29,54,1,571
Nayarit,1,41,75,57,33,24,110,17,49,18,32,0,457
Nuevo Le¢n,10,172,282,208,168,174,484,151,188,75,138,12,2 062
Oaxaca,3,122,294,255,151,150,479,136,245,89,320,0,2 244
Puebla,8,199,380,340,277,257,768,191,341,129,294,1,3 185
Quer‰taro,3,62,93,55,61,56,172,43,61,19,50,0,675
Quintana Roo,3,61,94,81,66,67,177,42,63,20,39,0,713
San Luis Potosç,2,162,287,221,189,129,473,123,207,91,172,0,2 056
Sinaloa,4,113,154,112,51,76,209,59,96,39,88,1,1 002
Sonora,3,166,265,171,138,132,308,125,114,39,80,0,1 541
Tabasco,0,17,63,35,31,33,107,25,42,13,26,1,393
Tamaulipas,5,141,203,150,95,116,372,93,177,60,129,1,1 542
Tlaxcala,0,30,49,56,43,36,122,25,38,21,43,0,463
Veracruz,4,200,374,272,272,223,780,183,353,157,288,2,3 108
Yucatæn,1,82,157,108,100,80,260,55,90,43,58,1,1 035
Zacatecas,2,81,114,47,45,38,91,21,44,26,40,1,550
