Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,0,48,82,64,31,22,73,9,29,8,15,0,381
Baja California,1,85,115,102,64,53,191,52,68,24,41,1,797
Baja California Sur,0,17,42,21,16,11,69,21,22,10,12,0,241
Campeche,1,27,51,42,23,22,83,17,39,9,27,0,341
Coahuila,4,121,184,159,107,52,223,49,97,36,63,0,1 095
Colima,2,27,52,28,17,14,59,19,24,8,15,0,265
Chiapas,2,39,113,86,76,62,249,34,57,30,54,0,802
Chihuahua,4,127,254,195,125,115,339,85,134,69,122,3,1 572
Distrito Federal,8,392,605,417,444,425,1 168,290,477,192,312,1,4 731
Durango,1,115,150,131,83,48,110,31,43,18,34,0,764
Guanajuato,6,220,405,262,184,119,424,98,177,66,198,0,2 159
Guerrero,1,150,240,187,154,111,389,85,199,87,145,4,1 752
Hidalgo,1,99,189,155,153,111,385,75,144,62,133,2,1 509
Jalisco,14,294,417,285,191,155,531,126,191,68,170,1,2 443
M‚xico,13,530,820,710,613,491,1 573,364,510,198,417,2,6 241
Michoac n,7,152,268,203,98,101,352,88,143,62,140,1,1 615
Morelos,1,51,110,93,56,53,154,27,55,21,52,0,673
Nayarit,1,40,81,38,29,18,87,14,40,15,19,0,382
Nuevo Le¢n,8,186,340,285,237,181,379,147,166,52,120,2,2 103
Oaxaca,4,98,234,202,161,129,461,139,206,93,262,0,1 989
Puebla,2,173,391,310,282,256,791,178,294,114,312,1,3 104
Quer‚taro,3,47,74,52,35,41,131,25,39,12,34,0,493
Quintana Roo,1,40,96,73,52,35,174,39,49,19,22,0,600
San Luis Potos¡,4,113,261,183,153,111,376,100,158,64,140,0,1 663
Sinaloa,0,60,122,77,47,43,136,37,79,16,54,0,671
Sonora,8,138,217,179,134,109,254,90,125,48,97,2,1 401
Tabasco,2,35,58,53,38,40,141,24,46,12,31,0,480
Tamaulipas,6,106,198,123,103,73,289,65,108,47,98,1,1 217
Tlaxcala,1,26,65,45,38,50,154,28,61,18,52,0,538
Veracruz,3,156,341,256,217,167,650,183,293,112,264,1,2 643
Yucat n,0,76,151,114,95,91,276,59,78,34,65,0,1 039
Zacatecas,2,46,83,65,35,31,106,25,31,16,43,0,483
