Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,2,46,55,50,27,22,68,10,18,3,21,0,322
Baja California,2,97,166,115,72,98,233,63,69,29,66,0,1 010
Baja California Sur,0,21,56,29,24,15,63,26,17,9,10,0,270
Campeche,0,43,61,62,44,40,103,28,33,13,19,0,446
Coahuila,5,114,171,89,73,63,181,50,66,28,38,0,878
Colima,0,17,42,27,19,11,54,6,12,15,12,0,215
Chiapas,2,80,234,192,147,126,460,88,114,50,82,2,1 577
Chihuahua,3,157,249,176,115,98,303,80,125,39,92,9,1 446
Distrito Federal,12,603,866,719,670,537,1 684,442,634,175,430,0,6 772
Durango,3,196,201,158,110,96,168,38,50,24,45,0,1 089
Guanajuato,9,313,495,331,232,182,632,130,213,82,289,1,2 909
Guerrero,4,110,320,254,150,105,415,94,184,87,185,2,1 910
Hidalgo,1,141,275,249,187,146,550,123,211,76,209,0,2 168
Jalisco,13,341,464,314,186,159,553,118,190,76,218,1,2 633
M‚xico,19,693,1 185,984,850,631,2 400,468,644,258,483,1,8 616
Michoac n,4,170,338,231,164,146,453,106,189,70,202,0,2 073
Morelos,1,56,132,103,57,58,198,44,67,35,78,0,829
Nayarit,0,36,81,56,33,28,71,18,22,12,26,0,383
Nuevo Le¢n,11,212,362,278,205,150,405,109,163,47,89,1,2 032
Oaxaca,1,146,307,304,199,163,559,142,255,128,303,4,2 511
Puebla,11,321,664,588,433,391,1 182,261,397,165,367,12,4 792
Quer‚taro,1,55,114,68,51,51,150,28,48,27,46,0,639
Quintana Roo,1,69,108,90,74,45,199,37,62,14,34,1,734
San Luis Potos¡,8,123,240,199,146,110,335,63,137,57,143,0,1 561
Sinaloa,4,73,177,117,37,49,161,65,84,37,73,0,877
Sonora,3,150,228,149,90,80,243,79,106,51,86,1,1 266
Tabasco,2,47,105,82,59,57,175,31,51,14,29,0,652
Tamaulipas,2,137,264,175,124,92,413,96,112,55,136,1,1 607
Tlaxcala,1,57,105,96,58,49,206,35,64,28,68,1,768
Veracruz,4,290,601,473,353,268,1 019,221,418,174,377,4,4 202
Yucat n,1,110,226,152,135,95,287,72,100,37,90,0,1 305
Zacatecas,0,38,86,71,31,28,92,19,45,15,49,0,474
