Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,0,70,72,61,65,38,148,30,25,22,26,0,557
Baja California,4,52,85,65,61,60,187,54,107,30,67,0,772
Baja California Sur,2,17,29,28,15,21,65,17,35,13,29,1,272
Campeche,3,22,28,26,26,28,99,29,29,14,30,0,334
Coahuila,1,107,227,151,117,89,287,63,143,50,80,2,1 317
Colima,0,19,44,35,18,26,77,16,33,12,18,0,298
Chiapas,0,47,104,79,80,81,211,42,73,34,62,1,814
Chihuahua,3,84,153,127,81,89,245,69,135,47,105,0,1 138
Distrito Federal,10,432,713,556,585,568,1 648,423,756,269,512,2,6 474
Durango,3,88,185,141,105,98,270,94,105,42,59,0,1 190
Guanajuato,4,192,380,220,181,155,588,140,191,86,222,0,2 359
Guerrero,2,70,189,152,105,79,270,55,135,64,120,1,1 242
Hidalgo,1,106,206,166,135,139,465,118,182,80,164,0,1 762
Jalisco,6,291,428,281,228,201,664,149,265,116,255,0,2 884
M‚xico,9,501,856,696,660,619,1 916,470,722,258,509,5,7 221
Michoac n,8,136,235,149,126,121,430,85,151,66,145,0,1 652
Morelos,3,61,85,83,60,77,186,51,86,31,76,1,800
Nayarit,0,37,58,42,29,33,70,15,35,13,37,0,369
Nuevo Le¢n,9,186,259,207,155,154,559,173,275,88,188,10,2 263
Oaxaca,4,102,168,179,144,149,452,107,207,102,217,1,1 832
Puebla,1,156,315,259,283,238,742,204,344,136,252,0,2 930
Quer‚taro,2,66,83,62,69,49,206,49,88,23,59,0,756
Quintana Roo,1,31,74,80,56,72,247,52,80,17,29,0,739
San Luis Potos¡,4,155,234,182,204,141,516,151,199,80,190,0,2 056
Sinaloa,5,61,136,93,96,70,184,48,86,34,72,0,885
Sonora,1,119,219,134,134,111,277,74,118,57,68,0,1 312
Tabasco,1,13,43,39,23,26,130,33,54,16,27,1,406
Tamaulipas,3,87,147,139,133,101,412,106,143,68,132,0,1 471
Tlaxcala,0,28,47,40,38,32,137,32,51,14,56,0,475
Veracruz,1,119,238,185,177,148,525,156,302,127,233,0,2 211
Yucat n,8,88,134,96,84,117,341,88,121,50,90,0,1 217
Zacatecas,2,51,103,85,37,35,119,41,42,20,46,0,581
