Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,0,41,71,51,27,18,55,11,21,6,22,0,323
Baja California,4,99,143,96,76,45,235,59,69,33,69,2,930
Baja California Sur,0,14,43,33,17,17,74,21,34,3,17,0,273
Campeche,2,33,51,37,31,36,91,27,30,10,33,0,381
Coahuila,1,103,173,111,88,51,191,47,68,31,63,0,927
Colima,0,20,28,24,15,13,60,11,20,5,11,0,207
Chiapas,2,57,154,114,89,92,240,47,60,29,62,4,950
Chihuahua,5,168,238,194,171,132,430,150,170,87,100,4,1 849
Distrito Federal,7,489,789,566,565,448,1 479,321,541,200,377,1,5 783
Durango,2,122,158,115,98,73,154,56,46,22,35,0,881
Guanajuato,7,208,415,283,176,137,494,89,149,76,235,0,2 269
Guerrero,2,113,260,207,132,87,339,86,136,79,187,2,1 630
Hidalgo,2,135,278,185,166,125,473,125,166,66,167,0,1 888
Jalisco,16,288,445,259,185,144,500,101,168,84,163,0,2 353
M‚xico,13,541,915,768,699,547,1 864,432,563,229,437,3,7 011
Michoac n,6,160,300,202,151,114,397,105,158,51,164,1,1 809
Morelos,1,72,122,92,61,48,150,38,59,19,69,0,731
Nayarit,1,49,88,49,20,34,95,25,31,20,44,0,456
Nuevo Le¢n,9,196,291,202,140,117,388,102,153,58,104,2,1 762
Oaxaca,0,126,305,221,168,135,521,141,223,106,331,0,2 277
Puebla,4,251,539,407,394,308,1 026,254,334,152,388,3,4 060
Quer‚taro,4,49,92,75,46,38,133,36,55,13,35,0,576
Quintana Roo,1,50,92,64,38,71,150,36,52,10,31,1,596
San Luis Potos¡,2,121,279,208,144,103,355,98,153,66,188,0,1 717
Sinaloa,1,72,145,100,53,48,157,47,55,25,73,0,776
Sonora,5,165,255,168,111,73,247,66,113,50,85,4,1 342
Tabasco,1,38,73,60,54,38,150,27,58,11,37,0,547
Tamaulipas,9,128,229,137,90,90,295,94,130,38,84,0,1 324
Tlaxcala,0,44,60,64,42,55,156,33,48,21,52,1,576
Veracruz,8,215,421,321,282,245,792,199,340,132,297,1,3 253
Yucat n,1,79,127,115,129,80,236,55,91,37,68,1,1 019
Zacatecas,0,46,83,46,45,24,93,25,32,18,31,0,443
