ESTADO,SALUD,IMSS.ORD,ISSSTE,IMSS.OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalientes,376,134,6,S/ R,0,S/ R,2,S/ R,12,530
Baja California,494,489,39,27,S/ R,S/ R,4,5,75,1133
Baja California Sur,242,21,46,S/ R,S/ R,S/ R,1,0,S/ R,310
Campeche,255,67,17,50,0,1,1,2,43,436
Coahuila,588,513,39,169,0,S/ R,5,S/ R,266,1580
Colima,190,102,7,S/ R,0,S/ R,0,8,10,317
Chiapas,622,53,53,248,S/ R,10,3,0,8,997
Chihuahua,1 049,695,36,149,S/ R,S/ R,1,S/ R,196,1077
Distrito Federal,4 993,235,450,0,5,65,45,11,58,869
Durango,919,52,17,142,0,S/ R,1,S/ R,0,1131
Guanajuato,2 396,270,35,0,S/ R,38,2,S/ R,43,388
Guerrero,1 335,442,145,2,S/ R,S/ R,6,5,6,606
Hidalgo,1 463,36,11,132,27,22,0,S/ R,11,239
Jalisco,2 231,966,27,0,0,0,2,2,525,1522
M ‚xico,6 354,412,109,0,134,S/ R,44,S/ R,244,943
M ichoac n,1 277,307,44,449,S/ R,S/ R,1,4,S/ R,805
M orelos,739,95,11,3,S/ R,S/ R,1,S/ R,S/ R,849
Nayarit,329,93,18,103,10,S/ R,0,0,3,556
Nuevo Le¢n,1 539,501,8,0,S/ R,25,2,S/ R,473,1009
Oaxaca,775,49,60,1 143,1,25,7,4,12,933
Puebla,2 583,288,75,418,0,5,5,S/ R,188,979
Quer‚taro,391,206,38,1,0,S/ R,0,S/ R,2,638
Quintana Roo,453,298,44,S/ R,S/ R,S/ R,4,0,S/ R,799
San Luis Potos¡,1 271,297,32,380,S/ R,2,0,S/ R,4,715
Sinaloa,441,117,24,132,3,0,1,4,128,850
Sonora,1 474,162,22,0,S/ R,S/ R,4,57,252,497
Tabasco,444,17,3,S/ R,S/ R,64,0,0,34,562
Tamaulipas,960,133,7,153,0,71,1,0,5,1330
Tlaxcala,449,38,29,1,0,S/ R,2,S/ R,0,519
Veracruz,1 872,304,65,523,1,135,5,15,0,1048
Yucat n,756,151,18,354,0,S/ R,5,0,10,1294
Zacatecas,400,60,7,206,0,S/ R,5,S/ R,2,680
