ESTADO,SALUD,IMSS.ORD,ISSSTE,IMSS.OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalientes,428,81,29,S.R.,0,S.R.,2,S.R.,39,579
Baja California,490,55,26,48,S.R.,S.R.,7,0,92,718
Baja California Sur,266,48,36,S.R.,S.R.,S.R.,4,4,S.R.,358
Campeche,200,38,11,63,0,15,0,1,18,346
Coahuila,770,7,40,153,0,S.R.,10,S.R.,272,1252
Colima,266,73,8,S.R.,0,S.R.,1,2,9,359
Chiapas,654,65,37,254,S.R.,17,0,0,8,1035
Chihuahua,767,328,36,156,S.R.,S.R.,8,S.R.,190,1485
Distrito Federal,5 607,298,573,0,9,28,18,13,130,1069
Durango,1 057,9,8,183,0,S.R.,S.R.,0,1,201
Guanajuato,2 898,159,74,0,S.R.,27,4,S.R.,139,403
Guerrero,968,62,95,12,S.R.,S.R.,8,6,0,1151
H idalgo,1 672,42,13,136,12,21,0,S.R.,18,242
Jalisco,2 356,630,39,0,0,1,0,0,586,1256
M ‚xico,7 926,151,120,19,193,S.R.,65,S.R.,319,867
M ichoac n,1 705,349,35,534,S.R.,S.R.,0,4,S.R.,922
M orelos,674,3,32,0,S.R.,S.R.,5,S.R.,S.R.,714
Nayarit,331,54,28,167,1,S.R.,0,0,0,581
Nuevo L e¢n,1 797,128,19,0,S.R.,18,5,S.R.,261,431
Oaxaca,629,93,74,1 132,1,29,22,14,38,900
Puebla,2 145,57,54,328,0,15,7,S.R.,141,602
Quer‚taro,653,107,42,0,2,S.R.,0,S.R.,17,821
Quintana Roo,700,162,105,S.R.,S.R.,S.R.,0,2,4,973
San Luis Potos¡,1 477,204,61,415,S.R.,7,0,S.R.,16,703
Sinaloa,512,58,28,170,4,0,1,2,180,955
Sonora,1 424,141,19,0,S.R.,S.R.,0,4,286,450
T abasco,355,0,4,S.R.,S.R.,73,1,2,25,460
T amaulipas,1 159,35,24,129,1,88,0,12,62,351
Tlaxcala,504,9,9,0,0,S.R.,0,S.R.,0,522
Veracruz,2 051,58,46,810,1,158,8,7,5,1093
Yucat n,798,28,26,395,0,S.R.,5,0,8,1260
Z acatecas,450,6,17,263,0,S.R.,5,S.R.,6,747
