ESTADO,SALUD,IMSS.ORD,ISSSTE,IMSS.OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,TOTAL
Aguascalient es,405,229,4,S.R.,0,S.R.,1,S.R.,9,648
Baja California,581,482,22,28,S.R.,S.R.,5,2,93,1213
Baja California Sur,312,29,43,S.R.,S.R.,S.R.,3,1,S.R.,388
Campeche,262,87,18,72,0,2,4,6,17,468
Coahuila,560,487,29,131,0,S.R.,5,S.R.,313,1525
Colima,201,151,10,S.R.,0,S.R.,0,8,11,381
Chiapas,696,55,30,241,S.R.,21,1,2,8,1054
Chihuahua,1 017,577,47,162,S.R.,S.R.,4,S.R.,203,993
Dist rit o Federal,5 349,414,419,1,4,69,44,7,92,1050
Durango,982,135,20,157,0,S.R.,2,S.R.,0,1296
Guanajuat o,2 804,335,51,0,S.R.,35,7,S.R.,21,449
Guerrero,1 038,395,126,0,S.R.,S.R.,10,7,0,538
Hidalgo,1 568,80,14,160,33,15,0,S.R.,11,313
Jalisco,2 362,1 114,35,0,1,1,6,1,668,712
M ‚xico,6 533,618,79,6,200,S.R.,43,S.R.,323,1269
M ichoac n,1 428,421,34,519,S.R.,S.R.,0,4,S.R.,978
M orelos,685,113,16,0,S.R.,S.R.,0,S.R.,S.R.,814
Nayarit,349,109,16,199,3,S.R.,0,2,3,681
Nuevo Le¢n,1 646,641,11,0,S.R.,20,0,S.R.,403,1075
Oaxaca,767,61,82,1 260,0,38,15,6,21,990
Puebla,2 499,371,42,352,4,8,1,S.R.,202,980
Quer‚t aro,461,237,33,0,0,S.R.,0,S.R.,7,738
Quint ana Roo,433,331,63,S.R.,S.R.,S.R.,5,0,3,835
San Luis Pot os¡,1 409,380,32,403,S.R.,6,0,S.R.,13,834
Sinaloa,606,147,40,123,5,0,2,8,146,1077
Sonora,1 512,257,20,0,S.R.,S.R.,5,5,181,468
Tabasco,405,18,10,S.R.,S.R.,73,5,2,25,538
Tamaulipas,1 059,189,2,157,1,71,2,8,1,431
Tlaxcala,443,53,13,0,0,S.R.,1,S.R.,0,510
Veracruz,1 803,255,54,809,1,158,9,16,1,1303
Yucat  n,832,174,43,352,0,S.R.,6,0,14,1421
Zacat ecas,397,74,12,251,0,S.R.,1,S.R.,9,744
